                   0, 000,          x,          x, x,          x, x
                   1, 000,  303379748, 3230228097, 0,      70656, 0
                   2, 000, 2223298057, 2985317987, 0, 2155894273, 1
                   3, 000,  112818957, 1189058957, 0,  110696717, 0
                   4, 000, 2999092325, 2302104082, 0, 2147614720, 1
                   5, 000,   15983361,  114806029, 0,   13877505, 0
                   6, 000,  992211318,  512609597, 0,  436322612, 0
                   7, 000, 1993627629, 1177417612, 0, 1174689676, 1
                   8, 000, 2097015289, 3812041926, 0, 1614094528, 0
                   9, 000, 3807872197, 3574846122, 0, 3222503552, 0
                  10, 000, 1924134885, 3151131255, 0,  847409765, 0
                  11, 000, 2301810194, 1206705039, 0,   18928130, 0
                  12, 000, 2033215986, 3883308750, 0, 1630535874, 0
                  13, 000, 4093672168, 3804909253, 0, 3758115520, 0
                  14, 000,  777537884, 3733858493, 0,  235407388, 0
                  15, 000, 2527811629, 2997298789, 0, 2460155941, 1
                  16, 000, 2985255523,   91457290, 0,   23265794, 0
                  17, 000, 3225100928,  274997536, 0,    2105344, 0
                  18, 000, 1433945514, 3469528221, 0, 1145586824, 0
                  19, 000, 3407888022, 2307110931, 0, 2298492946, 1
                  20, 000, 2260482061, 2846348883, 0, 2158235649, 1
                  21, 000,  899669355, 3936758485, 0,  545654849, 0
                  22, 000, 2165787138, 3612753582, 0, 2165705218, 1
                  23, 000,  251652381, 3888476879, 0,  113598477, 0
                  24, 000,  293882147,   84501770, 0,   16793858, 0
                  25, 000, 3849521866, 2654030908, 0, 2217805832, 0
                  26, 000, 2036907506, 1160667530, 0, 1093149058, 1
                  27, 000,  549761857, 3964351704, 0,  541077568, 0
                  28, 000, 1008792440, 3297383049, 0,   67113480, 0
                  29, 000, 1975848427, 1526883766, 0, 1358955938, 1
                  30, 000, 1665923526, 1460999086, 0, 1124143494, 1
                  31, 000, 3732210364,  353361194, 0,  335872040, 0
                  32, 000, 2245499403, 3096952433, 0, 2157419009, 1
                  33, 000, 1123172741,  670192975, 0,   49430789, 0
                  34, 000, 2647416891,  486945594, 0,  486809658, 0
                  35, 000, 3206754942,  178932501, 0,  170000916, 0
                  36, 000, 2027527153, 1822182361, 0, 1754794961, 1
                  37, 000,  824379234,  641071948, 0,  539034432, 0
                  38, 000, 1335973279, 1203347855, 0, 1201734031, 1
                  39, 000, 2087561720, 3687669943, 0, 1481449648, 0
                  40, 000, 3485750943, 2927465564, 0, 2386826268, 1
                  41, 000, 2915811419, 1155413897, 0,   80347145, 0
                  42, 000, 2762879561, 3894623952, 0, 2686595648, 0
                  43, 000, 3959341271, 2831678545, 0, 2831597649, 0
                  44, 000, 1260466070,  102596364, 0,   33632004, 0
                  45, 000, 3777810114, 1683484104, 0, 1610927296, 0
                  46, 000, 3145882231,  519236925, 0,  444745781, 0
                  47, 000,  151837458, 3204776062, 0,  151257106, 0
                  48, 000,  921010541,  484042553, 0,  348225833, 0
                  49, 000,  265457439, 3924555475, 0,  163743251, 0
                  50, 000, 1121529733, 3155462264, 0,    1050624, 0
                  51, 000,  769284443,  613108553, 0,  613042505, 0
                  52, 000, 2683481663,  353152810, 0,  352366122, 0
                  53, 000,  739599192, 3275700358, 0,    1384448, 0
                  54, 000, 3340373134, 3459248796, 0, 3322544268, 0
                  55, 000, 2100664826, 2474490918, 0,  288725026, 0
                  56, 000,  966137715, 3515593891, 0,  293737507, 0
                  57, 000, 2543429679, 3654455987, 0, 2442166307, 1
                  58, 000, 2950190687,  573115716, 0,  570950724, 0
                  59, 000, 2079915511, 3852154571, 0, 1637364931, 0
                  60, 000, 4077460198,  757652314, 0,  554179138, 0
                  61, 000,  349159721, 4135772909, 0,  344113193, 0
                  62, 000, 3981667546, 2996811365, 0, 2685609024, 0
                  63, 000, 3666535093, 4022244575, 0, 3398074517, 0
                  64, 000, 1022433657,  573701956, 0,  540088640, 0
                  65, 000, 3899919568,  352914218, 0,       2048, 0
                  66, 000, 1442229675,  124768014, 0,   90606858, 0
                  67, 000, 1851633116, 3445537946, 0, 1281141912, 0
                  68, 000, 4276056829, 3790668483, 0, 3771794113, 0
                  69, 000,  722398550,  662301006, 0,  587786566, 0
                  70, 000, 3017373287, 2234594314, 0, 2165388290, 1
                  71, 000, 1534048694, 2618198584, 0,  403605552, 0
                  72, 000, 1020364665, 3693855928, 0,  469861432, 0
                  73, 000, 1249165204, 1237736851, 0, 1212423568, 1
                  74, 000, 2185178116, 2897726041, 0, 2151090176, 1
                  75, 000, 1842047451, 2801589837, 0,  617105481, 0
                  76, 000, 1823520729, 3064211053, 0,  614475337, 0
                  77, 000, 3141919350, 1698384330, 0,  553730114, 0
                  78, 000, 1528245686, 1251176853, 0, 1242767764, 1
                  79, 000, 2735151686,   41196292, 0,   33823236, 0
                  80, 000, 2077385207,  882378601, 0,  814743905, 1
                  81, 000, 3664689844, 1140952456, 0, 1073776768, 0
                  82, 000,  343726376, 2526020653, 0,  336592936, 0
                  83, 000, 3821351111, 2539428910, 0, 2202275846, 1
                  84, 000, 2222449672,  239158556, 0,   71386120, 0
                  85, 000, 4272400125,  345900841, 0,  344327721, 0
                  86, 000, 2386006044, 1127573382, 0,   37027844, 0
                  87, 000, 3979610330, 2662843965, 0, 2352218136, 0
                  88, 000,  860792678, 3092628592, 0,  809796704, 0
                  89, 000, 3119842419, 1567726010, 0,  426836018, 0
                  90, 000,  792376158, 2101836282, 0,  755118426, 1
                  91, 000, 1787692501, 2368009754, 0,  134480912, 0
                  92, 000, 3706716345,  461857079, 0,  411041841, 0
                  93, 000, 1260861334, 1614356928, 0, 1075913088, 1
                  94, 000,  321232678, 3678804662, 0,  319035942, 0
                  95, 000, 1050248061, 1851723740, 0,  773391196, 1
                  96, 000, 1130452870, 1006894968, 0,      87808, 0
                  97, 000, 1062902654, 3985473755, 0,  755531866, 0
                  98, 000, 3888363215, 1022176121, 0,  616637001, 0
                  99, 000, 4247315706, 2965171809, 0, 2955469920, 0
                 100, 000,  194251031, 3505748129, 0,    9701377, 0
                 101, 000, 1131909510, 2825098832, 0,    6524928, 0
                 102, 000, 2056018421, 2595522613, 0,  444860469, 0
                 103, 000, 2493155881, 1622242753, 0,    9437185, 0
                 104, 000, 3806688453, 3422663832, 0, 3221304448, 0
                 105, 000,  632453963, 3112977011, 0,  562053699, 0
                 106, 000, 4129482476, 3310360202, 0, 3288336008, 0
                 107, 000,  660132174, 3561717928, 0,   71860232, 0
                 108, 000, 1419705769, 3502935201, 0, 1351257249, 0
                 109, 000,  118208782, 4080297702, 0,   50339846, 0
                 110, 000, 3486957727,  355448106, 0,   84312074, 0
                 111, 000,  358227242, 3333813389, 0,   68162568, 0
                 112, 000, 1333133214, 2624448056, 0,  208004632, 0
                 113, 000, 3167725689, 1684333512, 0,  608477256, 0
                 114, 000, 1696810442,  167723283, 0,   19087618, 0
                 115, 000,  899729771, 3820465863, 0,  564168771, 0
                 116, 000, 1527504310, 1560649146, 0, 1493278130, 1
                 117, 000, 1645652932, 1552061881, 0, 1073906048, 1
                 118, 000, 1227871122, 3659963060, 0, 1210487440, 0
                 119, 000, 1069235071, 3274936454, 0,   53678086, 0
                 120, 000, 2104358394, 4180120818, 0, 2032506098, 0
                 121, 000,  423960882, 3738066621, 0,  407109680, 0
                 122, 000, 1112526212, 4064912612, 0, 1112114308, 0
                 123, 000, 1698942922, 1420327337, 0, 1140869512, 1
                 124, 000, 3499468961, 1197844878, 0, 1074112640, 0
                 125, 000, 4253772539, 2246385163, 0, 2239826443, 0
                 126, 000, 4152529135, 1690844617, 0, 1686114505, 0
                 127, 000,  459334966, 3132180597, 0,  438321204, 0
                 128, 000, 3353892495,  902676331, 0,   96998923, 0
                 129, 000, 1147529096, 3611276462, 0, 1143317640, 0
                 130, 000, 1307804059, 1228817810, 0, 1228013970, 1
                 131, 000,  340057896, 2525290541, 0,  335855656, 0
                 132, 000,  632774475, 3781800130, 0,  555814978, 0
                 133, 000, 2401039902,  112395533, 0,  101712908, 0
                 134, 000, 1987706348,  201563416, 0,   67214600, 1
                 135, 000, 1756240849, 3279297670, 0, 1076238464, 0
                 136, 000, 2696946753, 2646565947, 0, 2155881473, 1
                 137, 000, 1816459736,  703588691, 0,  675604816, 1
                 138, 000, 2870567510, 2913739355, 0, 2835882578, 1
                 139, 000, 4050057954, 2188632580, 0, 2153964032, 1
                 140, 000,  967574387, 3964712152, 0,  671088720, 0
                 141, 000,  155077906, 3691201720, 0,  134366224, 0
                 142, 000, 2625704505, 4068980453, 0, 2424377889, 0
                 143, 000, 3502628001,  361303851, 0,  276892705, 0
                 144, 000, 1083202945, 1679525320, 0, 1074791808, 1
                 145, 000,  330650919, 1356200353, 0,  278221089, 0
                 146, 000, 2408345119, 2183281156, 0, 2181048836, 1
                 147, 000,  741155672, 3411837078, 0,  135004176, 0
                 148, 000,  175018772, 2300163090, 0,  134778896, 0
                 149, 000, 3408031894, 3635208881, 0, 3357565072, 0
                 150, 000,  717411669, 4140011245, 0,  583173189, 0
                 151, 000,  361442091, 2058427381, 0,  276892449, 1
                 152, 000, 1454637997, 2478907943, 0,  310379045, 0
                 153, 000, 1112145796, 3551061159, 0, 1107879044, 0
                 154, 000, 4090996455, 3706687673, 0, 3502735521, 0
                 155, 000, 2765772361, 1843772379, 0,  616567369, 0
                 156, 000, 1689915337,  679719249, 0,  545390913, 1
                 157, 000, 3502005921,  356965674, 0,  268721184, 0
                 158, 000, 2099922426, 2732990533, 0,  539099200, 0
                 159, 000, 1101071747, 3195355772, 0,    2162688, 0
                 160, 000, 3108377714, 4283383038, 0, 3108377714, 0
                 161, 000, 3025531496, 3084888687, 0, 3025511016, 1
                 162, 000, 1128664454, 2015568368, 0, 1073873280, 1
                 163, 000,  477206328,  544641344, 0,    7377152, 0
                 164, 000, 2483648040, 2064493046, 0,  269033504, 0
                 165, 000, 3804175045, 1613246912, 0, 1613238464, 0
                 166, 000,  979525492,  484340025, 0,  406999344, 0
                 167, 000, 3630852784,  505186108, 0,  403178032, 0
                 168, 000,  354521898,  824496994, 0,  287347490, 0
                 169, 000,  183252245, 4038151905, 0,   10486785, 0
                 170, 000,  199400727, 2710302275, 0,   25332739, 0
                 171, 000, 1689641929, 3275097222, 0, 1077149824, 0
                 172, 000,  311937829, 1626774977, 0,    9865473, 0
                 173, 000, 3332219533, 2909266522, 0, 2214961672, 1
                 174, 000,   64366343,  375094060, 0,   38937348, 0
                 175, 000,  101342476, 3098404465, 0,     541696, 0
                 176, 000, 2648800315, 1533076918, 0,  425747506, 0
                 177, 000, 4225745655, 3474247326, 0, 3407135382, 0
                 178, 000, 2927122524,  716765013, 0,  708333652, 0
                 179, 000, 2418686496, 3490386592, 0, 2416579104, 1
                 180, 000,  962595186, 3661466804, 0,  404752432, 0
                 181, 000, 1854600669, 2262626317, 0,  109637645, 0
                 182, 000,  632330571, 3167502969, 0,  612368457, 0
                 183, 000, 3479427742, 4277167357, 0, 3462414492, 0
                 184, 000, 3185627771, 1206023055, 0,   98587147, 0
                 185, 000, 2177079811, 1908484579, 0,   29427715, 0
                 186, 000,  244466461, 1492729265, 0,  143655185, 0
                 187, 000,  571580228, 3399269525, 0,   34642948, 0
                 188, 000, 4028445920, 4137777389, 0, 4026609888, 0
                 189, 000,  695866706, 2082364408, 0,  672797008, 1
                 190, 000, 1188870029, 2841625682, 0,    6063104, 0
                 191, 000, 1108993924,  594214214, 0,   34137348, 0
                 192, 000, 3325727372, 1212710288, 0, 1074270336, 0
                 193, 000,  199934231,  892166506, 0,   19415298, 0
                 194, 000, 1115379588, 3579559082, 0, 1079710848, 0
                 195, 000, 1047465852, 2958164576, 0,  809632352, 0
                 196, 000, 1565150650, 3315687563, 0, 1157644426, 0
                 197, 000, 3541958310, 2458066469, 0, 2449546788, 1
                 198, 000,  419791666, 3506767010, 0,  285540386, 0
                 199, 000, 2760866889, 2321854484, 0, 2147758080, 1
                 200, 000, 2664022077,  636617547, 0,   79691785, 0
                 201, 000, 2926063708,  596669767, 0,  570437700, 0
                 202, 000, 1128175494, 2628745785, 0,    3019264, 0
                 203, 000, 3657796276, 1750197712, 0, 1208058000, 0
                 204, 000, 2518831148, 1182549388, 0,  102776844, 0
                 205, 000,   65648391, 3038920810, 0,   18874370, 0
                 206, 000,  144046353, 1953169384, 0,      63744, 0
                 207, 000, 2783419979,  971276659, 0,  568623171, 0
                 208, 000, 1982421996,  301860131, 0,  271057184, 1
                 209, 000, 1376710564, 1692493257, 0, 1073767808, 1
                 210, 000, 2628191289, 4018369247, 0, 2357395481, 0
                 211, 000, 3931641044,  864249191, 0,  570426436, 0
                 212, 000, 1319125405, 1479615920, 0, 1210057104, 1
                 213, 000, 1091582338,  617791305, 0,    1063168, 0
                 214, 000, 3971554009,  268482336, 0,       4608, 0
                 215, 000, 2382711836, 1236365203, 0,  134302736, 0
                 216, 000, 1907646947, 2504753706, 0,  285212706, 0
                 217, 000, 3832674504, 2933337693, 0, 2756782152, 0
                 218, 000,  490708282, 1109830020, 0,    2525440, 0
                 219, 000, 2510923819,  479035193, 0,  344533033, 0
                 220, 000, 2306808850, 2843672658, 0, 2306801682, 1
                 221, 000,  746883417, 3895170768, 0,  671121488, 0
                 222, 000, 3076123246, 1274358167, 0,   55650310, 0
