                   0, 000,          x,          x, x,          x, x
                1000, 000,  303379748, 3230228097, x,          x, x
                1010, 000,  303379748, 3230228097, x,      70656, x
                1013, 000,  303379748, 3230228097, 0,      70656, x
                1019, 000,  303379748, 3230228097, 0,      70656, 0
                2000, 000, 2223298057, 2985317987, 0,      70656, 0
                2007, 000, 2223298057, 2985317987, 0,      70656, 1
                2010, 000, 2223298057, 2985317987, 0, 2155894273, 1
                3000, 000,  112818957, 1189058957, 0, 2155894273, 1
                3007, 000,  112818957, 1189058957, 0, 2155894273, 0
                3010, 000,  112818957, 1189058957, 0,  110696717, 0
                4000, 000, 2999092325, 2302104082, 0,  110696717, 0
                4010, 000, 2999092325, 2302104082, 0, 2147614720, 0
                4011, 000, 2999092325, 2302104082, 0, 2147614720, 1
                5000, 000,   15983361,  114806029, 0, 2147614720, 1
                5007, 000,   15983361,  114806029, 0, 2147614720, 0
                5010, 000,   15983361,  114806029, 0,   13877505, 0
                6000, 000,  992211318,  512609597, 0,   13877505, 0
                6010, 000,  992211318,  512609597, 0,  436322612, 0
                7000, 000, 1993627629, 1177417612, 0,  436322612, 0
                7007, 000, 1993627629, 1177417612, 0,  436322612, 1
                7010, 000, 1993627629, 1177417612, 0, 1174689676, 1
                8000, 000, 2097015289, 3812041926, 0, 1174689676, 1
                8010, 000, 2097015289, 3812041926, 0, 1614094528, 1
                8011, 000, 2097015289, 3812041926, 0, 1614094528, 0
                9000, 000, 3807872197, 3574846122, 0, 1614094528, 0
                9010, 000, 3807872197, 3574846122, 0, 3222503552, 0
               10000, 000, 1924134885, 3151131255, 0, 3222503552, 0
               10010, 000, 1924134885, 3151131255, 0,  847409765, 0
               10011, 000, 1924134885, 3151131255, 0,  847409765, 1
               10019, 000, 1924134885, 3151131255, 0,  847409765, 0
               11000, 000, 2301810194, 1206705039, 0,  847409765, 0
               11007, 000, 2301810194, 1206705039, 0,  847409765, 1
               11010, 000, 2301810194, 1206705039, 0,   18928130, 1
               11019, 000, 2301810194, 1206705039, 0,   18928130, 0
               12000, 000, 2033215986, 3883308750, 0,   18928130, 0
               12007, 000, 2033215986, 3883308750, 0,   18928130, 1
               12010, 000, 2033215986, 3883308750, 0, 1630535874, 1
               12011, 000, 2033215986, 3883308750, 0, 1630535874, 0
               13000, 000, 4093672168, 3804909253, 0, 1630535874, 0
               13010, 000, 4093672168, 3804909253, 0, 3758115520, 0
               14000, 000,  777537884, 3733858493, 0, 3758115520, 0
               14010, 000,  777537884, 3733858493, 0,  235407388, 0
               14015, 000,  777537884, 3733858493, 0,  235407388, 1
               14019, 000,  777537884, 3733858493, 0,  235407388, 0
               14023, 000,  777537884, 3733858493, 0,  235407388, 1
               14027, 000,  777537884, 3733858493, 0,  235407388, 0
               15000, 000, 2527811629, 2997298789, 0,  235407388, 0
               15010, 000, 2527811629, 2997298789, 0, 2460155941, 0
               15011, 000, 2527811629, 2997298789, 0, 2460155941, 1
               16000, 000, 2985255523,   91457290, 0, 2460155941, 1
